Heading,Link
করোনা রোগী শনাক্ত হওয়ার পর যথাযথ ব্যবস্থা নেয়নি স্বাস্থ্য বিভাগ: জিএম কাদের,https://jamuna.tv/news/159116
করোনা ও উপসর্গ নিয়ে চিকিৎসকসহ দুই জনের মৃত্যু,https://jamuna.tv/news/159071
করোনায় মৃত ৪১ জন সম্পর্কে যা জানানো হয়েছে,https://jamuna.tv/news/159107
বিশ্বে করোনায় আক্রান্ত-মৃত্যুর সর্বশেষ তথ্য,https://jamuna.tv/news/159057
ভারতে একদিনে করোনায় শনাক্ত ২৫ হাজারের বেশি,https://jamuna.tv/news/159050
করোনা রোগী শনাক্ত হওয়ার পর যথাযথ ব্যবস্থা নেয়নি স্বাস্থ্য বিভাগ: জিএম কাদের,https://jamuna.tv/news/159116
করোনা রোগী শনাক্ত হওয়ার পর যথাযথ ব্যবস্থা নেয়নি স্বাস্থ্য বিভাগ: জিএম কাদের,https://jamuna.tv/news/159116
করোনায় মৃত ৪১ জন সম্পর্কে যা জানানো হয়েছে,https://jamuna.tv/news/159107
করোনা ও উপসর্গ নিয়ে চিকিৎসকসহ দুই জনের মৃত্যু,https://jamuna.tv/news/159071
কুমিল্লা মেডিকেলে করোনা উপসর্গ নিয়ে ৭ জনের মৃত্যু,https://jamuna.tv/news/159053
বিশ্বে করোনায় আক্রান্ত-মৃত্যুর সর্বশেষ তথ্য,https://jamuna.tv/news/159057
"করোনায় মৃত্যু, অদল বদলে মুসলিম নারীর লাশ শ্মশানে দাহ!",https://jamuna.tv/news/159054
ভারতে একদিনে করোনায় শনাক্ত ২৫ হাজারের বেশি,https://jamuna.tv/news/159050
১৪ দিনের লকডাউনে চবি ক্যাম্পাস,https://jamuna.tv/news/157880
কন্ঠশিল্পী সেলিম চৌধুরী করোনায় আক্রান্ত হয়ে হাসপাতালে ভর্তি,https://jamuna.tv/news/158691
ঘুরতে গিয়ে করোনা আক্রান্ত হলে পাবেন ৩ হাজার মার্কিন ডলার!,https://jamuna.tv/news/156680
জেনে নিন করোনা ও ইনফ্লুয়েঞ্জার উপসর্গ,https://jamuna.tv/news/157896
করোনা সংকটেও রেকর্ড রেমিটেন্স ও রিজার্ভ,https://jamuna.tv/news/157658
"করোনায় বাজারে এলো রুপার মাস্ক, চাহিদা তুঙ্গে",https://jamuna.tv/news/148482
করোনায় মৃত ৫৫ জন সম্পর্কে যা জানানো হয়েছে,https://jamuna.tv/news/158161
"এক দিনে ৩,৩৬০ জন কোভিড-১৯ রোগী শনাক্ত, আক্রান্তের সংখ্যা বেড়ে ১,৭৫,৪৯৪",https://bangla.bdnews24.com/bangladesh/article1778615.bdnews
লকডাউন তুলেও ছন্দে ফেরেনি প্যারিস,https://blog.bdnews24.com/morshed1980/270625
করোনা,https://www.somoynews.tv/coronavirus
করোনা ভাইরাস লাইভ,https://www.somoynews.tv/coronavirus
‘পশ্চিমবঙ্গে করোনা সংক্রমণ দাবানলের মতো ছড়িয়ে পড়ছে’,https://www.somoynews.tv/pages/details/222737/‘পশ্চিমবঙ্গে-করোনা-সংক্রমণ-দাবানলের-মতো-ছড়িয়ে-পড়ছে’
করোনায় আক্রান্তের তৃতীয় সর্বোচ্চ রেকর্ড ভারতের,https://www.somoynews.tv/pages/details/222309/করোনায়-আক্রান্তের-তৃতীয়-সর্বোচ্চ-রেকর্ড-ভারতের
করোনায় তারুণ্যের হেয়ালি ও কর্তব্য | বদ্যি বাড়ি,https://www.somoynews.tv/pages/program/9/4481/
‘সরকারের মদদেই করোনার ভুয়া রিপোর্ট দিতো রিজেন্ট হাসপাতাল’,https://www.somoynews.tv/pages/details/222843/‘সরকারের-মদদেই-করোনার-ভুয়া-রিপোর্ট-দিতো-রিজেন্ট-হাসপাতাল’
বিশ্বে করোনায় আক্রান্ত-মৃত্যুর সর্বশেষ,https://www.somoynews.tv/pages/details/222801/বিশ্বে-করোনায়-আক্রান্ত-মৃত্যুর-সর্বশেষ
‘এশিয়া কাপ’ও গিলে খেল করোনা,https://www.somoynews.tv/pages/details/222800/‘এশিয়া-কাপ’ও-গিলে-খেল-করোনা
করোনা প্রতিরোধে বেইজিংয়ের সাফল্যের রহস্য,https://www.somoynews.tv/pages/details/222792/করোনা-প্রতিরোধে-বেইজিংয়ের-সাফল্যের-রহস্য
এবার শিশুদের মধ্যে করোনার মতো অন্য রোগ,https://www.somoynews.tv/pages/details/222791/এবার-শিশুদের-মধ্যে-করোনার-মতো-অন্য-রোগ
করোনার টিকা বিশ্বের সবাইকে বিনামূল্যে দিতে হবে,https://www.somoynews.tv/pages/details/222784/করোনার-টিকা-বিশ্বের-সবাইকে-বিনামূল্যে-দিতে-হবে
'৬শ' করোনা আক্রান্ত বাংলাদেশি প্রবাসী ইতালিতে প্রবেশ করেছেন',https://www.somoynews.tv/pages/details/222771/৬শ-করোনা-আক্রান্ত-বাংলাদেশি-প্রবাসী-ইতালিতে-প্রবেশ-করেছেন
"করোনা পজিটিভ-নেগেটিভদের সংঘর্ষ, আহত ৬",https://www.somoynews.tv/pages/details/222763/করোনা-পজিটিভ-নেগেটিভদের-সংঘর্ষ-আহত-৬
করোনায় মৃতের আধাপোড়া দেহ খাচ্ছে কুকুর!(ভিডিও),https://www.somoynews.tv/pages/details/222759/করোনায়-মৃতের-আধাপোড়া-দেহ-খাচ্ছে-কুকুর(ভিডিও)
ইতালির গণমাধ্যমে বাংলাদেশের ভুয়া করোনা সার্টিফিকেটের খবর,https://www.somoynews.tv/pages/details/222756/ইতালির-গণমাধ্যমে-বাংলাদেশের-ভুয়া-করোনা-সার্টিফিকেটের-খবর
যুক্তরাষ্ট্রে করোনায় একদিনে সর্বোচ্চ আক্রান্তের রেকর্ড,https://www.somoynews.tv/pages/details/222745/যুক্তরাষ্ট্রে-করোনায়-একদিনে-সর্বোচ্চ-আক্রান্তের-রেকর্ড
বিশ্বে প্রথম করোনার ভ্যাকসিন তৈরি করল চীন,https://www.somoynews.tv/pages/details/221119/বিশ্বে-প্রথম-করোনার-ভ্যাকসিন-তৈরি-করল-চীন
"বাংলাদেশে প্রথম করোনার ভ্যাকসিন আবিষ্কারের দাবি, বৃহস্পতিবার সংবাদ সম্মেলন",https://www.somoynews.tv/pages/details/221399/বাংলাদেশে-প্রথম-করোনার-ভ্যাকসিন-আবিষ্কারের-দাবি-বৃহস্পতিবার-সংবাদ-সম্মেলন
চীনের করোনা ভ্যাকসিন প্রথমেই পাবে বাংলাদেশ,https://www.somoynews.tv/pages/details/219944/চীনের-করোনা-ভ্যাকসিন-প্রথমেই-পাবে-বাংলাদেশ
করোনায় আক্রান্ত হলেন মাশরাফী,https://www.somoynews.tv/pages/details/219683/করোনায়-আক্রান্ত-হলেন-মাশরাফী
"বাংলাদেশে আবিষ্কৃত করোনার ভ্যাকসিনের বিরাট অগ্রগতি, ক্লিনিক্যাল ট্রায়ালের উদ্যোগ",https://www.somoynews.tv/pages/details/221515/বাংলাদেশে-আবিষ্কৃত-করোনার-ভ্যাকসিনের-বিরাট-অগ্রগতি-ক্লিনিক্যাল-ট্রায়ালের-উদ্যোগ
‘বাবা-মা করোনা এনেছে’ অজুহাতে ইঞ্জিনিয়ার স্বামীকে নির্মম নির্যাতন স্ত্রীর (ভিডিও),https://www.somoynews.tv/pages/details/220775/‘বাবা-মা-করোনা-এনেছে’-অজুহাতে-ইঞ্জিনিয়ার-স্বামীকে-নির্মম-নির্যাতন-স্ত্রীর-(ভিডিও)
লকডাউনে রেড জোনে কাজ চলবে যেভাবে,https://www.somoynews.tv/pages/details/218832/লকডাউনে-রেড-জোনে-কাজ-চলবে-যেভাবে
সরকারি হিসাবের চেয়ে করোনায় মৃত্যু লক্ষাধিক বেশি: বিবিসি,https://www.somoynews.tv/pages/details/219355/সরকারি-হিসাবের-চেয়ে-করোনায়-মৃত্যু-লক্ষাধিক-বেশি-বিবিসি
৭ হাজার টাকায় মিলছে করোনা নেগেটিভের সনদ!,https://www.somoynews.tv/pages/details/218945/৭-হাজার-টাকায়-মিলছে-করোনা-নেগেটিভের-সনদ
করোনার সম্মুখযোদ্ধাদের অভিবাদন,https://www.prothomalo.com/topic/%E0%A6%95%E0%A6%B0%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%B0-%E0%A6%AF%E0%A7%8B%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%85%E0%A6%AD%E0%A6%BF%E0%A6%AC%E0%A6%BE%E0%A6%A6%E0%A6%A8
"২৪ ঘণ্টায় করোনা শনাক্ত ৩৩৬০, মৃত্যু ৪১",http:///prothomalo.com/bangladesh/article/1667930/%E0%A7%A8%E0%A7%AA-%E0%A6%98%E0%A6%A3%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A7%9F-%E0%A6%95%E0%A6%B0%E0%A7%8B%E0%A6%A8%E0%A6%BE-%E0%A6%B6%E0%A6%A8%E0%A6%BE%E0%A6%95%E0%A7%8D%E0%A6%A4-%E0%A7%A9%E0%A7%A9%E0%A7%AC%E0%A7%A6-%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%81-%E0%A7%AA%E0%A7%A7
সিলেট বিভাগে আরও ১১৯ জনের করোনা শনাক্ত,http:///prothomalo.com/bangladesh/article/1667928/%E0%A6%B8%E0%A6%BF%E0%A6%B2%E0%A7%87%E0%A6%9F-%E0%A6%AC%E0%A6%BF%E0%A6%AD%E0%A6%BE%E0%A6%97%E0%A7%87-%E0%A6%86%E0%A6%B0%E0%A6%93-%E0%A7%A7%E0%A7%A7%E0%A7%AF-%E0%A6%9C%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%B0%E0%A7%8B%E0%A6%A8%E0%A6%BE-%E0%A6%B6%E0%A6%A8%E0%A6%BE%E0%A6%95%E0%A7%8D%E0%A6%A4
"২১



             যাত্রীর করোনা বন্ধ করে দিচ্ছে ফ্লাইট, সুযোগ হারাচ্ছে বাংলাদেশ",http:///prothomalo.com/bangladesh/article/1667869/%E0%A6%AF%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%80%E0%A6%B0-%E0%A6%95%E0%A6%B0%E0%A7%8B%E0%A6%A8%E0%A6%BE-%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A7-%E0%A6%95%E0%A6%B0%E0%A7%87-%E0%A6%A6%E0%A6%BF%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A7%87-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A6%BE%E0%A6%87%E0%A6%9F-%E0%A6%B8%E0%A7%81%E0%A6%AF%E0%A7%8B%E0%A6%97
"বরিশালের কীর্তনখোলা নদীতে চিংড়ি শিকারে ব্যস্ত কয়েকজন। এদের একজন ছাত্র। করোনার কারণে শিক্ষাপ্রতিষ্ঠান বন্ধ থাকায় এখন নদীতে মাছ শিকার করছে সে। ত্রিশ গোডাউন এলাকা, বরিশাল নগর, ৮ জুলাই। ছবি: সাইয়ান।",http:///prothomalo.com/photo/gallery/1667852/%E0%A6%8F%E0%A6%95-%E0%A6%9D%E0%A6%B2%E0%A6%95-%E0%A7%A6%E0%A7%AF-%E0%A6%9C%E0%A7%81%E0%A6%B2%E0%A6%BE%E0%A6%87-%E0%A7%A8%E0%A7%A6%E0%A7%A8%E0%A7%A6#gallery-image-1545426
কোভিড-১৯,https://www.jugantor.com/covid-19
কোভিড-১৯,https://www.jugantor.com/covid-19
"দেশে করোনায় ঝরে গেল আরও ৪১ প্রাণ, আক্রান্ত ৩৩৬০",https://www.jugantor.com/covid-19/324311/দেশে-করোনায়-ঝরে-গেল-আরও-৪১-প্রাণ-আক্রান্ত-৩৩৬০
করোনা রোগী পৌনে ২ লাখ ছাড়াল,https://www.jugantor.com/covid-19/324318/করোনা-রোগী-পৌনে-২-লাখ-ছাড়াল
কুমিল্লায় একদিনে করোনা ও উপসর্গ নিয়ে ৯ জনের মৃত্যু,https://www.jugantor.com/covid-19/324310/কুমিল্লায়-একদিনে-করোনা-ও-উপসর্গ-নিয়ে-৯-জনের-মৃত্যু
করোনা রোগী পৌনে ২ লাখ ছাড়াল,https://www.jugantor.com/covid-19/324318/করোনা-রোগী-পৌনে-২-লাখ-ছাড়াল
"দেশে করোনায় ঝরে গেল আরও ৪১ প্রাণ, আক্রান্ত ৩৩৬০",https://www.jugantor.com/covid-19/324311/দেশে-করোনায়-ঝরে-গেল-আরও-৪১-প্রাণ-আক্রান্ত-৩৩৬০
করোনা লুকিয়ে বিদেশ যাত্রায় দেশের ভাবমূর্তি নষ্ট হচ্ছে: ওবায়দুল কাদের,https://www.jugantor.com/politics/awami-league/324010/করোনা-লুকিয়ে-বিদেশ-যাত্রায়-দেশের-ভাবমূর্তি-নষ্ট-হচ্ছে-ওবায়দুল-কাদের
মঠবাড়িয়ায় করোনা উপসর্গ নিয়ে স্কুলশিক্ষিকার মৃত্যু,https://www.jugantor.com/covid-19/324313/মঠবাড়িয়ায়-করোনা-উপসর্গ-নিয়ে-স্কুলশিক্ষিকার-মৃত্যু
"ঝিনাইদহে করোনায় বৃদ্ধের মৃত্যু, আক্রান্ত ৩৩",https://www.jugantor.com/covid-19/324312/ঝিনাইদহে-করোনায়-বৃদ্ধের-মৃত্যু-আক্রান্ত-৩৩
কুমিল্লায় একদিনে করোনা ও উপসর্গ নিয়ে ৯ জনের মৃত্যু,https://www.jugantor.com/covid-19/324310/কুমিল্লায়-একদিনে-করোনা-ও-উপসর্গ-নিয়ে-৯-জনের-মৃত্যু
করোনার পরিস্থিতিতেও পাট-পাটজাত পণ্যের রফতানি আয় বেড়েছে,https://www.jugantor.com/covid-19/324005/করোনার-পরিস্থিতিতেও-পাটপাটজাত-পণ্যের-রফতানি-আয়-বেড়েছে
বাংলাদেশের ‘ভুয়া’ করোনা সনদের খবর ইতালির গণমাধ্যমে প্রধান শিরোনাম!,http:///www.jugantor.comhttps://www.jugantor.com/covid-19/324084/বাংলাদেশের-ভুয়া-করোনা-সনদের-খবর-ইতালির-গণমাধ্যমে-প্রধান-শিরোনাম 
লকডাউন থাকাকালীন প্রোমিজগুলো মনে আছে তো?,https://www.jugantor.com/exile/323994/লকডাউন-থাকাকালীন-প্রোমিজগুলো-মনে-আছে-তো
করোনায় সুস্থতার হার বৃদ্ধি,https://www.jugantor.com/todays-paper/editorial/323747/করোনায়-সুস্থতার-হার-বৃদ্ধি
প্রবীর মিত্রের কাছে হেরে গেল করোনা,https://www.jugantor.com/covid-19/324053/প্রবীর-মিত্রের-কাছে-হেরে-গেল-করোনা
করোনা রোগী পৌনে ২ লাখ ছাড়াল,https://www.jugantor.com/covid-19/324318/করোনা-রোগী-পৌনে-২-লাখ-ছাড়াল
মঠবাড়িয়ায় করোনা উপসর্গ নিয়ে স্কুলশিক্ষিকার মৃত্যু,https://www.jugantor.com/covid-19/324313/মঠবাড়িয়ায়-করোনা-উপসর্গ-নিয়ে-স্কুলশিক্ষিকার-মৃত্যু
করোনা হাসপাতালেই আয়োজন করে বিয়ে করলেন ২ চিকিৎসক (ভিডিও),https://www.jugantor.com/covid-19/323933/করোনা-হাসপাতালেই-আয়োজন-করে-বিয়ে-করলেন-২-চিকিৎসক-ভিডিও
কোভিড-১৯,https://www.jugantor.com/covid-19
"অনুমোদন ছাড়াই করোনা পরীক্ষা, ক্লিনিক মালিক কারাগারে",http:///www.thedailystar.net/bangla/%E0%A6%B6%E0%A7%80%E0%A6%B0%E0%A7%8D%E0%A6%B7-%E0%A6%96%E0%A6%AC%E0%A6%B0/%E0%A6%85%E0%A6%A8%E0%A7%81%E0%A6%AE%E0%A7%8B%E0%A6%A6%E0%A6%A8-%E0%A6%9B%E0%A6%BE%E0%A7%9C%E0%A6%BE%E0%A6%87-%E0%A6%95%E0%A6%B0%E0%A7%8B%E0%A6%A8%E0%A6%BE-%E0%A6%AA%E0%A6%B0%E0%A7%80%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE-%E0%A6%95%E0%A7%8D%E0%A6%B2%E0%A6%BF%E0%A6%A8%E0%A6%BF%E0%A6%95-%E0%A6%AE%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%95-%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A6%BE%E0%A6%97%E0%A6%BE%E0%A6%B0%E0%A7%87-161245
ভুয়া করোনা পরীক্ষার সার্টিফিকেট: ইতালির পত্রিকার শিরোনামে বাংলাদেশ,http:///www.thedailystar.net/bangla/%E0%A6%B6%E0%A7%80%E0%A6%B0%E0%A7%8D%E0%A6%B7-%E0%A6%96%E0%A6%AC%E0%A6%B0/%E0%A6%AD%E0%A7%81%E0%A7%9F%E0%A6%BE-%E0%A6%95%E0%A6%B0%E0%A7%8B%E0%A6%A8%E0%A6%BE-%E0%A6%AA%E0%A6%B0%E0%A7%80%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%9F%E0%A6%BF%E0%A6%AB%E0%A6%BF%E0%A6%95%E0%A7%87%E0%A6%9F-%E0%A6%87%E0%A6%A4%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%B0-%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%95%E0%A6%BE%E0%A6%B0-%E0%A6%B6%E0%A6%BF%E0%A6%B0%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%AE%E0%A7%87-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6-161161
করোনায় কিং ফাহাদ হাসপাতালের অবসরপ্রাপ্ত ফার্মাসিস্ট মুজিবুল হকের মৃত্যু,http:///www.thedailystar.net/bangla/%E0%A6%B6%E0%A7%80%E0%A6%B0%E0%A7%8D%E0%A6%B7-%E0%A6%96%E0%A6%AC%E0%A6%B0/%E0%A6%95%E0%A6%B0%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A7%9F-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A7%80%E0%A6%A3-%E0%A6%9A%E0%A6%BF%E0%A6%95%E0%A6%BF%E0%A7%8E%E0%A6%B8%E0%A6%95-%E0%A6%AE%E0%A7%81%E0%A6%9C%E0%A6%BF%E0%A6%AC%E0%A7%81%E0%A6%B2-%E0%A6%B9%E0%A6%95%E0%A7%87%E0%A6%B0-%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%81-161173
"করোনা পরীক্ষায় ফি আরোপ বৈষম্যমূলক, অমানবিক, দুরভিসন্ধিমূলক ও আত্মঘাতী: টিআইবি",http:///www.thedailystar.net/bangla/%E0%A6%B6%E0%A7%80%E0%A6%B0%E0%A7%8D%E0%A6%B7-%E0%A6%96%E0%A6%AC%E0%A6%B0/%E0%A6%95%E0%A6%B0%E0%A7%8B%E0%A6%A8%E0%A6%BE-%E0%A6%AA%E0%A6%B0%E0%A7%80%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE%E0%A7%9F-%E0%A6%AB%E0%A6%BF-%E0%A6%86%E0%A6%B0%E0%A7%8B%E0%A6%AA-%E0%A6%AC%E0%A7%88%E0%A6%B7%E0%A6%AE%E0%A7%8D%E0%A6%AF%E0%A6%AE%E0%A7%82%E0%A6%B2%E0%A6%95-%E0%A6%85%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%AC%E0%A6%BF%E0%A6%95-%E0%A6%A6%E0%A7%81%E0%A6%B0%E0%A6%AD%E0%A6%BF%E0%A6%B8%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A6%BF%E0%A6%AE%E0%A7%82%E0%A6%B2%E0%A6%95-%E0%A6%93-%E0%A6%86%E0%A6%A4%E0%A7%8D%E0%A6%AE%E0%A6%98%E0%A6%BE%E0%A6%A4%E0%A7%80-%E0%A6%9F%E0%A6%BF%E0%A6%86%E0%A6%87%E0%A6%AC%E0%A6%BF-161093
